t[ms];Y1[Torque actual value [I_N/1000]];Y2[Position actual value [p-unit]];;
0,1;-8;87380;;
17,1;0;87376;;
20,1;-37;87385;;
32,1;-15;87380;;
38,1;0;87376;;
44,1;-30;87380;;
50,1;7;87380;;
56,1;-15;87380;;
68,1;0;87380;;
74,1;0;87380;;
80,1;7;87385;;
86,1;0;87380;;
92,1;7;87380;;
104,1;21;87380;;
110,1;0;87376;;
116,1;36;87380;;
122,1;-8;87376;;
128,1;21;87380;;
140,1;72;87380;;
146,1;7;87376;;
152,1;7;87376;;
158,1;7;87380;;
164,1;-8;87380;;
176,1;43;87380;;
182,1;0;87380;;
188,1;7;87385;;
194,1;29;87380;;
200,1;7;87380;;
212,1;0;87380;;
218,1;-8;87380;;
224,1;-22;87380;;
230,1;0;87380;;
236,1;7;87380;;
248,1;-8;87385;;
254,1;7;87380;;
260,1;0;87385;;
266,1;43;87380;;
272,1;0;87380;;
284,1;7;87380;;
290,1;21;87380;;
296,1;-37;87380;;
302,1;-8;87380;;
308,1;29;87380;;
320,1;-22;87376;;
326,1;7;87380;;
332,1;14;87380;;
338,1;7;87380;;
344,1;-8;87376;;
356,1;-8;87380;;
362,1;0;87380;;
368,1;0;87380;;
374,1;-8;87380;;
380,1;7;87380;;
392,1;0;87380;;
404,1;-8;87380;;
422,1;-30;87380;;
428,1;7;87380;;
446,1;-8;87380;;
452,1;-15;87380;;
458,1;21;87380;;
464,1;7;87376;;
476,1;29;87380;;
482,1;-8;87380;;
488,1;0;87380;;
494,1;7;87376;;
500,1;-8;87376;;
512,1;-66;87380;;
518,1;7;87380;;
524,1;7;87380;;
530,1;36;87380;;
536,1;7;87380;;
548,1;29;87380;;
554,1;-8;87380;;
560,1;-30;87380;;
566,1;-22;87380;;
572,1;-8;87380;;
584,1;0;87380;;
590,1;-30;87380;;
596,1;-59;87380;;
602,1;43;87385;;
608,1;-15;87380;;
620,1;-37;87380;;
626,1;-30;87380;;
632,1;7;87380;;
638,1;0;87385;;
644,1;-88;87380;;
656,1;0;87376;;
