
12/06/2018;12:21:53

Y1:Torque actual value [I_N/1000] / Y2:Position actual value [p-unit]
t[ms];Y1[Torque actual value [I_N/1000]];Y2[Position actual value [p-unit]]
0,1;-59;87385
5,1;-8;87385
11,1;-30;87385
17,1;50;87385
23,1;-30;87389
35,1;-8;87385
41,1;29;87385
47,1;-15;87385
53,1;-66;87389
59,1;-15;87385
71,1;0;87389
77,1;-44;87385
83,1;-30;87385
89,1;0;87389
95,1;21;87385
107,1;7;87389
113,1;-8;87385
119,1;0;87389
125,1;0;87385
131,1;0;87385
143,1;-8;87385
149,1;0;87389
155,1;0;87389
161,1;-30;87385
167,1;0;87389
179,1;7;87385
185,1;-15;87389
191,1;21;87389
197,1;-30;87389
203,1;-15;87385
215,1;0;87389
221,1;-44;87385
227,1;-37;87380
233,1;0;87385
239,1;36;87385
251,1;-15;87385
257,1;-124;87385
263,1;-51;87385
269,1;0;87389
275,1;0;87389
287,1;-22;87389
312,1;7;87385
317,1;7;87385
335,1;21;87385
341,1;0;87389
347,1;-8;87385
353,1;7;87385
359,1;29;87380
371,1;7;87385
377,1;-8;87385
383,1;-8;87389
389,1;-8;87389
395,1;-37;87385
407,1;-8;87385
413,1;14;87389
419,1;-8;87389
425,1;-8;87389
431,1;-37;87385
443,1;-8;87385
449,1;-30;87389
455,1;-37;87385
461,1;0;87385
467,1;-37;87389
479,1;-30;87385
485,1;-30;87385
491,1;36;87385
497,1;-37;87389
503,1;-30;87385
515,1;7;87385
521,1;43;87385
527,1;87;87389
533,1;0;87380
539,1;14;87389
551,1;-22;87385
557,1;-8;87385
563,1;0;87385
569,1;7;87389
575,1;-37;87385
587,1;7;87385
593,1;0;87389
599,1;0;87385
605,1;-30;87385
611,1;-30;87385
623,1;-30;87385
629,1;-8;87389
635,1;-8;87385
641,1;-15;87385
647,1;94;87385
659,1;-30;87385
665,1;7;87385
671,1;14;87385
677,1;7;87385
683,1;7;87380
695,1;0;87385
701,1;7;87385
707,1;0;87385
713,1;-30;87389
719,1;-30;87389
731,1;0;87385
737,1;29;87385
743,1;-30;87385
749,1;-22;87389
755,1;29;87380
767,1;-30;87385
773,1;-30;87385
779,1;-30;87385
785,1;7;87385
791,1;0;87385
803,1;0;87385
809,1;36;87385
815,1;-51;87385
821,1;-37;87389
827,1;43;87389
839,1;0;87389
845,1;-8;87389
851,1;-44;87385
857,1;-8;87389
863,1;-8;87389
875,1;-44;87385
881,1;-22;87389
887,1;0;87385
893,1;-30;87389
899,1;43;87389
911,1;7;87380
917,1;0;87389
923,1;-15;87389
929,1;-30;87389
935,1;-15;87389
947,1;-15;87385
953,1;-37;87385
959,1;43;87385
965,1;0;87389
971,1;7;87385
983,1;43;87385
989,1;29;87385
995,1;0;87385
1001,1;0;87385
1007,1;-8;87385
1019,1;29;87385
1025,1;-59;87389
1031,1;0;87385
1037,1;-8;87385
1043,1;29;87389
1055,1;-30;87385
1067,1;-44;87385
1073,1;0;87385
1092,1;21;87385
1097,1;14;87389
1103,1;0;87385
1109,1;-713;87152
1155,1;-415;47412
1157,1;-510;43606
1163,1;-546;33477
1169,1;-444;22763
1181,1;-473;-1542
1187,1;-8;-8811
1199,1;-22;-1120
1205,1;0;3722
1233,1;14;29034
1235,1;-15;31486
1241,1;-110;37639
1247,1;7;43826
1253,1;21;50387
1259,1;0;57128
1265,1;0;64142
1271,1;14;71191
1277,1;-8;78358
1283,1;7;85847
1289,1;21;86383
1295,1;-131;85565
1301,1;-73;85702
1307,1;7;85820
1313,1;0;86040
1319,1;-15;86603
1325,1;-30;87367
1331,1;-8;87328
1337,1;-37;87328
1343,1;7;87358
1349,1;-8;87389
1355,1;0;87363
1361,1;-66;87367
1367,1;21;87363
1373,1;-95;87367
1379,1;-8;87367
1385,1;-30;87380
1391,1;-88;87385
1397,1;21;87385
1403,1;-37;87389
1409,1;-51;87385
1415,1;0;87376
1421,1;-37;87372
1427,1;0;87380
1433,1;7;87389
1439,1;0;87385
1445,1;58;87385
1451,1;7;87385
1457,1;7;87380
1463,1;0;87385
1469,1;29;87385
1475,1;-8;87385
1481,1;7;87380
1487,1;14;87380
1493,1;-8;87385
1499,1;-30;87385
1505,1;-8;87380
1511,1;-15;87380
1517,1;0;87380
1523,1;0;87385
1529,1;7;87389
1535,1;0;87385
1541,1;-30;87380
1547,1;7;87385
1553,1;14;87389
1559,1;72;87385
1565,1;-44;87389
1571,1;36;87380
1577,1;-8;87380
1583,1;29;87385
1589,1;50;87385
1595,1;-44;87385
1601,1;7;87385
1607,1;0;87380
1613,1;0;87389
1619,1;-51;87380
1625,1;7;87380
1631,1;29;87385
1637,1;-30;87385
1643,1;7;87385
1649,1;0;87385
1655,1;14;87385
1661,1;43;87385
1667,1;-15;87389
1673,1;50;87389
1679,1;0;87385
1685,1;-30;87389
1691,1;-8;87385
1697,1;-37;87385
1703,1;-8;87389
1709,1;0;87389
1715,1;-8;87385
1721,1;0;87385
1727,1;-22;87389
1733,1;14;87389
1739,1;7;87385
1745,1;-30;87385
1751,1;14;87389
1757,1;-30;87385
1763,1;0;87389
1769,1;14;87385
1775,1;-37;87385
1781,1;21;87385
1787,1;0;87389
1793,1;7;87380
1799,1;0;87385
1805,1;-30;87385
1812,1;7;87385
1823,1;0;87385
1857,1;0;87385
1859,1;-88;87389
1871,1;7;87385
1883,1;-30;87385
1889,1;0;87389
1895,1;0;87389
1901,1;7;87385
1907,1;7;87385
1919,1;7;87385
1925,1;-15;87385
1931,1;14;87385
1937,1;0;87385
1943,1;43;87385
1955,1;0;87389
1961,1;58;87394
1967,1;0;87385
1973,1;-66;87385
1979,1;7;87389
1991,1;0;87385
1997,1;-30;87389
2003,1;-37;87385
2009,1;0;87385
2015,1;14;87385
2027,1;-8;87385
2033,1;0;87385
2039,1;-117;87389
2045,1;-15;87385
2051,1;29;87385
2063,1;0;87385
2069,1;65;87385
2075,1;-30;87380
2081,1;-30;87385
2087,1;43;87389
2099,1;-22;87389
2105,1;-30;87385
2111,1;-15;87385
2117,1;0;87385
2123,1;-30;87385
2135,1;7;87389
2141,1;-37;87389
2147,1;-8;87385
2153,1;0;87389
2159,1;7;87385
2171,1;7;87394
2177,1;0;87385
2183,1;-30;87385
2189,1;29;87380
2195,1;-8;87385
2207,1;43;87385
2213,1;-44;87385
2219,1;-44;87389
2225,1;-8;87385
2231,1;-44;87385
2243,1;-22;87385
2249,1;0;87389
2255,1;0;87389
2261,1;-59;87389
2267,1;50;87385
2279,1;-66;87389
2285,1;-8;87385
2291,1;29;87385
2297,1;0;87385
2303,1;7;87385
2315,1;7;87389
2321,1;-37;87385
2327,1;-8;87385
2333,1;-8;87385
2339,1;-30;87389
2351,1;-15;87385
2357,1;0;87385
2363,1;0;87385
2369,1;-88;87389
