
13/06/2018;17:08:15

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87389;0;-30;447
16,1;87389;0;-59;440
25,1;87394;0;-15;449
31,1;87389;0;-15;446
37,1;87389;0;-37;445
49,1;87389;0;7;441
55,1;87389;0;14;438
61,1;87394;0;-8;443
73,1;87394;1;-44;439
79,1;87394;0;7;446
85,1;87394;0;-44;446
91,1;87389;-1;-30;441
103,1;87394;0;43;444
109,1;87394;0;-30;445
115,1;87389;0;0;441
127,1;87394;0;0;448
133,1;87394;0;-44;442
139,1;87389;0;-15;445
145,1;87394;1;-44;448
157,1;87394;0;-30;442
163,1;87398;2;-59;448
169,1;87394;0;-15;445
181,1;87398;0;21;445
187,1;87389;-1;0;444
193,1;87394;0;-30;440
199,1;87394;0;-15;444
211,1;87389;-1;-30;441
217,1;87394;1;-8;442
223,1;87394;0;-59;451
235,1;87389;0;-95;444
241,1;87389;-1;-146;447
247,1;87394;0;-30;446
259,1;87389;-1;-59;445
265,1;87389;0;-8;449
271,1;87394;0;0;445
277,1;87394;-1;-15;443
289,1;87389;-1;-44;448
295,1;87394;0;-8;442
301,1;87389;0;0;446
313,1;87394;0;0;441
319,1;87394;-1;-8;443
325,1;87394;-1;-37;447
331,1;87389;-1;-8;446
343,1;87394;2;-66;446
349,1;87394;-1;7;446
355,1;87389;-1;-15;438
367,1;87394;0;-8;439
390,1;87394;0;-8;444
397,1;87394;0;-37;441
409,1;87398;0;-73;443
415,1;87394;-1;-8;440
427,1;87389;0;0;443
433,1;87394;2;0;441
439,1;87389;0;0;445
445,1;87394;0;0;450
457,1;87394;0;-30;442
463,1;87394;-1;-8;444
469,1;87389;-1;-15;444
481,1;87389;0;-44;449
487,1;87394;0;29;447
493,1;87394;0;-37;442
505,1;87394;1;-37;445
511,1;87394;1;-30;443
517,1;87394;0;0;440
523,1;87394;0;-37;445
535,1;87394;1;0;1871
541,1;87169;-64;-633;2142
553,1;82674;-574;-691;2349
565,1;71666;-1101;-691;2030
571,1;64032;-1316;-415;1284
577,1;55353;-1454;-422;881
589,1;35819;-1664;-335;560
595,1;25527;-1770;-291;503
601,1;14642;-1843;-342;475
607,1;3203;-1933;-466;452
640,1;6121;733;7;440
643,1;8415;756;21;434
655,1;17767;817;-37;433
661,1;22697;816;-66;439
667,1;27984;891;14;438
673,1;33244;905;-8;434
685,1;44661;986;0;439
691,1;50756;996;-8;435
697,1;56970;1031;0;436
709,1;69793;1081;7;440
715,1;76425;1122;94;438
721,1;83430;1182;0;438
733,1;85631;-147;-44;437
739,1;85306;-12;0;443
745,1;85258;-5;-44;444
751,1;85447;12;-22;440
763,1;86053;87;-37;442
769,1;86945;142;-51;445
775,1;87288;-21;-73;440
787,1;87130;15;-44;448
793,1;87416;49;-8;443
799,1;87389;0;-30;446
805,1;87389;4;-15;448
817,1;87398;1;-15;441
823,1;87398;1;0;445
829,1;87394;2;-73;446
841,1;87389;1;-44;444
847,1;87394;1;0;444
853,1;87394;-3;-37;440
859,1;87394;0;-124;441
871,1;87394;-1;-30;440
877,1;87398;0;-8;441
883,1;87398;1;-22;443
895,1;87394;0;-8;442
901,1;87389;0;-30;448
907,1;87389;0;0;450
919,1;87394;0;-37;442
925,1;87398;0;0;446
931,1;87394;-1;7;443
937,1;87398;1;-22;440
949,1;87389;0;0;446
955,1;87398;0;-30;442
961,1;87394;1;-30;447
973,1;87394;0;-30;441
979,1;87389;-1;0;445
985,1;87389;0;7;448
991,1;87389;1;-30;445
1003,1;87394;0;-30;448
1009,1;87394;0;-15;444
1015,1;87389;0;0;440
1027,1;87398;1;-8;445
1033,1;87394;0;-8;442
1039,1;87398;1;-22;443
1045,1;87394;0;-37;446
1051,1;87394;-1;-110;445
1057,1;87394;0;-44;441
1063,1;87394;0;-8;446
1075,1;87398;1;-37;443
1081,1;87394;-1;-37;447
1087,1;87389;-1;0;444
1099,1;87394;0;-30;444
1105,1;87394;0;-15;447
1111,1;87394;0;50;445
1117,1;87394;-1;36;444
1129,1;87398;2;7;446
1155,1;87402;2;-73;441
1202,1;87398;1;-66;447
1207,1;87398;0;-8;449
1219,1;87398;2;-30;449
1225,1;87394;0;-8;450
1231,1;87394;-1;-22;447
1237,1;87398;0;-37;445
1250,1;87398;0;-30;444
1255,1;87389;0;-88;439
1261,1;87394;0;-59;448
1273,1;87398;-1;-8;440
1279,1;87398;0;-15;446
1285,1;87394;0;-8;446
1291,1;87394;0;-44;446
1303,1;87394;0;-22;446
1309,1;87398;1;-15;446
1315,1;87394;-2;7;438
1327,1;87394;0;-30;449
1333,1;87394;0;-44;443
1339,1;87402;2;-30;444
1351,1;87398;0;0;441
1357,1;87394;0;-30;442
1363,1;87389;-1;-117;445
1369,1;87394;0;-30;447
1381,1;87398;0;-15;450
1387,1;87394;-1;-30;447
1393,1;87394;-1;-15;442
1405,1;87394;0;-15;445
1411,1;87394;0;-30;444
1417,1;87394;-1;0;441
1423,1;87394;-1;-30;445
1435,1;87394;0;-8;442
1441,1;87394;0;-44;445
1447,1;87398;0;0;444
1459,1;87398;2;36;446
1465,1;87389;-1;-30;445
1471,1;87389;-1;-30;443
1477,1;87394;0;-30;442
1489,1;87394;0;-30;447
1495,1;87394;0;7;441
1501,1;87394;-2;-8;447
1513,1;87394;2;-15;440
1519,1;87394;0;-8;446
1525,1;87394;0;-131;447
1537,1;87394;0;21;443
1543,1;87394;0;21;446
1549,1;87398;1;7;449
1555,1;87398;2;-37;443
1567,1;87398;1;0;447
1573,1;87394;0;-30;441
1579,1;87398;0;58;442
1591,1;87394;0;0;442
1597,1;87394;0;-8;444
1603,1;87394;0;-22;447
1609,1;87394;0;-66;445
1621,1;87394;0;-15;443
1627,1;87394;0;-30;442
1633,1;87394;0;-51;439
1645,1;87394;0;36;449
1651,1;87389;-1;-73;442
1657,1;87398;0;-88;443
1663,1;87394;0;-15;444
1669,1;87394;-2;-37;445
1675,1;87398;0;-15;441
1681,1;87398;0;-37;444
1693,1;87394;0;0;444
1699,1;87394;0;7;446
1705,1;87394;0;-15;448
