
13/06/2018;17:11:33

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87407;0;-15;1441
14,1;87402;0;-30;1444
31,1;87402;-1;50;1440
36,1;87402;0;-8;1441
41,1;87407;1;-30;1442
53,1;87407;0;0;1442
60,1;87402;0;-73;1442
65,1;87402;0;-44;1439
77,1;87402;-1;-8;1443
84,1;87402;-1;0;1441
89,1;87402;0;0;1442
101,1;87407;0;29;1441
107,1;87402;0;-73;1441
113,1;87402;0;-15;1444
119,1;87402;0;0;1441
132,1;87402;0;-30;1441
137,1;87402;0;0;1442
143,1;87407;0;-44;1438
156,1;87402;0;21;1440
161,1;87407;0;-44;1437
167,1;87402;0;-15;1438
173,1;87407;0;0;1443
186,1;87407;0;-37;1435
191,1;87407;0;7;1441
197,1;87407;0;-15;1441
209,1;87407;0;-8;1436
215,1;87407;1;0;1439
221,1;87402;0;7;1441
228,1;87407;1;-37;1439
233,1;87402;0;-37;1441
240,1;87402;0;0;1440
245,1;87402;0;-30;1437
257,1;87407;-2;-30;1441
280,1;87407;0;0;1444
288,1;87407;0;0;1437
300,1;87402;0;-37;1441
306,1;87402;0;-131;1436
318,1;87407;2;-8;1443
324,1;87398;-2;-44;1441
329,1;87402;0;-66;1443
342,1;87402;0;-30;1444
348,1;87402;0;-37;1439
354,1;87402;-1;-30;1441
360,1;87407;1;-30;1441
371,1;87402;0;-15;1441
377,1;87407;0;0;1443
383,1;87407;0;29;1439
396,1;87407;0;0;1440
401,1;87407;2;-15;1440
408,1;87402;0;-30;1433
413,1;87402;-1;-15;1439
426,1;87407;1;7;1435
432,1;87402;-2;-88;1439
438,1;87407;0;-8;1438
449,1;87402;0;-8;1434
456,1;87402;0;-73;1438
462,1;87407;0;-30;1439
467,1;87402;-1;-37;1437
480,1;87402;0;0;1441
486,1;87407;0;-22;1434
492,1;87402;0;-8;1440
503,1;87402;1;-30;1445
509,1;87402;-2;-37;1445
516,1;87407;0;-30;1443
528,1;87407;1;0;1435
534,1;87407;0;-30;1441
540,1;87402;0;-30;1439
546,1;87407;0;-146;1435
558,1;87407;0;7;1439
564,1;87407;2;-8;1434
570,1;87402;0;7;1437
582,1;87402;1;0;1439
588,1;87407;1;-44;1437
594,1;87402;-1;-15;1440
600,1;87402;-1;-44;1439
612,1;87402;-2;-51;1444
618,1;87402;0;-30;1445
624,1;87402;0;-8;1437
636,1;87402;0;-44;1441
642,1;87407;0;0;1439
648,1;87402;0;-8;1437
653,1;87402;-1;-30;1442
660,1;87402;0;-44;1440
666,1;87402;0;7;1436
672,1;87407;0;0;1443
684,1;87402;0;-37;1438
690,1;87402;0;0;1440
696,1;87407;0;-37;1443
708,1;87407;0;-30;1436
714,1;87402;0;-44;1443
720,1;87407;0;0;1442
726,1;87407;1;50;1435
738,1;87402;0;-37;1441
744,1;87402;-1;-37;1436
750,1;87402;-1;-30;1440
762,1;87407;0;0;1439
768,1;87402;1;-30;1439
774,1;87407;0;0;1443
780,1;87402;0;0;1441
792,1;87402;0;-30;1445
798,1;87407;0;0;1445
804,1;87402;0;0;1440
816,1;87402;0;21;1444
822,1;87402;0;-8;1439
828,1;87407;0;0;1436
840,1;87407;2;-131;1440
846,1;87402;0;-8;1437
852,1;87402;0;29;1440
858,1;87407;1;21;1440
870,1;87407;0;0;1439
876,1;87402;1;29;1441
882,1;87402;0;-30;1438
894,1;87402;0;-44;1440
900,1;87402;0;-80;1442
906,1;87398;-2;-15;1437
912,1;87402;0;-30;1442
924,1;87402;0;-30;1438
930,1;87407;0;-44;1435
936,1;87407;0;-30;1441
948,1;87407;0;-44;1433
954,1;87402;0;-37;1441
960,1;87407;1;-30;1442
966,1;87402;0;21;1437
978,1;87407;2;0;1439
984,1;87402;0;0;1438
990,1;87402;0;0;1438
1002,1;87407;0;-30;1441
1008,1;87402;1;-30;1435
1014,1;87407;0;0;1440
1026,1;87407;1;-30;1431
1038,1;87407;0;0;1438
1044,1;87345;-31;-633;2297
1076,1;50963;-2036;-670;2208
1092,1;13939;-2533;-488;1581
1110,1;-5247;772;-15;1450
1122,1;5295;898;0;1440
1154,1;38170;1073;-51;1433
1173,1;58970;1167;0;1432
1176,1;62626;1219;43;1427
1188,1;77277;1207;87;1430
1194,1;84678;1274;14;1428
1200,1;86444;-102;21;1436
1206,1;85385;-149;-30;1431
1218,1;85091;-1;0;1439
1224,1;85271;9;-15;1430
1230,1;85728;92;7;1432
1242,1;87319;153;7;1437
1248,1;87266;-32;-8;1435
1254,1;87244;21;-30;1434
1260,1;87407;23;-44;1437
1272,1;87411;0;-44;1441
1278,1;87407;0;-30;1442
1284,1;87398;-4;0;1439
1296,1;87420;1;-59;1444
1302,1;87416;0;0;1439
1308,1;87416;0;-30;1440
1314,1;87424;4;-30;1443
1326,1;87416;-1;-95;1436
1332,1;87420;0;-37;1443
1338,1;87416;0;0;1446
1350,1;87420;-1;-30;1442
1356,1;87420;0;0;1444
1362,1;87416;0;-131;1441
1374,1;87416;0;-15;1442
1380,1;87416;0;-30;1445
1386,1;87420;0;0;1442
1392,1;87420;0;-160;1445
1404,1;87416;-1;-44;1437
1410,1;87416;1;-59;1443
1416,1;87420;0;-8;1441
1428,1;87416;0;14;1438
1434,1;87416;0;0;1443
1440,1;87411;-1;-30;1442
1446,1;87420;1;-30;1437
1458,1;87420;0;-30;1439
1464,1;87416;-1;-30;1439
1470,1;87420;0;-30;1442
1482,1;87420;2;-59;1439
1488,1;87420;0;-8;1439
1494,1;87416;-1;-30;1445
1500,1;87416;0;0;1443
1506,1;87420;0;-15;1436
1512,1;87420;0;-8;1442
1518,1;87424;1;-22;1441
1530,1;87420;2;-30;1444
1536,1;87420;-1;-8;1444
1542,1;87420;1;-15;1441
1554,1;87416;-1;14;1441
1560,1;87420;1;7;1442
1566,1;87416;0;-30;1439
1572,1;87416;-1;-8;1443
1584,1;87420;1;-30;1439
1590,1;87420;0;-37;1439
1596,1;87416;-3;-30;1442
1608,1;87416;-1;-80;1439
1614,1;87420;1;-8;1442
1620,1;87420;0;0;1443
1626,1;87420;0;-37;1439
1638,1;87420;1;-30;1442
1644,1;87420;0;-44;1434
1650,1;87420;-1;-15;1436
1662,1;87420;0;-8;1439
1668,1;87420;0;-66;1440
1674,1;87416;0;-30;1444
1686,1;87420;0;-37;1438
1692,1;87420;0;-22;1442
1698,1;87420;-1;-15;1440
1704,1;87424;1;-44;1437
1716,1;87416;-1;0;1441
1722,1;87424;2;-44;1439
