
13/06/2018;17:11:45

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87420;0;-8;1445
18,1;87420;0;-8;1442
25,1;87420;0;-22;1438
47,1;87420;0;0;1440
49,1;87420;1;14;1443
61,1;87420;0;0;1442
67,1;87424;1;0;1438
73,1;87420;1;0;1443
79,1;87420;0;-30;1444
91,1;87416;-1;-30;1444
97,1;87416;0;-15;1440
103,1;87420;0;-51;1439
115,1;87420;0;-30;1439
121,1;87420;0;-44;1440
127,1;87416;0;-44;1438
139,1;87416;0;-37;1444
145,1;87416;0;0;1439
151,1;87420;0;-44;1443
157,1;87420;1;0;1442
175,1;87416;0;-30;1446
181,1;87416;0;-30;1444
187,1;87420;0;0;1438
218,1;87420;0;0;1441
223,1;87416;0;0;1434
241,1;87411;-2;-30;1444
247,1;87420;0;0;1437
253,1;87420;0;-37;1441
265,1;87416;0;-22;1437
271,1;87420;-1;-66;1440
277,1;87420;0;-8;1443
283,1;87416;0;-44;1439
295,1;87416;-1;-15;1444
301,1;87420;0;-30;1444
307,1;87420;0;-30;1437
319,1;87420;0;-8;1444
325,1;87420;0;-44;1438
331,1;87416;0;-37;1440
337,1;87416;0;-66;1443
349,1;87420;0;-37;1442
355,1;87420;1;29;1445
361,1;87420;0;-30;1442
373,1;87416;-1;-44;1442
379,1;87424;2;-37;1442
385,1;87420;0;-44;1436
391,1;87416;2;-44;1440
397,1;87420;0;-30;1440
403,1;87416;-2;-30;1436
409,1;87424;1;36;1438
421,1;87416;0;7;1441
427,1;87420;0;0;1439
433,1;87416;0;-30;1442
445,1;87420;0;-15;1438
451,1;87416;-2;-44;1442
457,1;87420;0;0;1443
463,1;87416;0;-37;1437
475,1;87420;0;-15;1442
481,1;87416;-1;-8;1439
487,1;87420;0;-44;1438
499,1;87420;0;0;1441
505,1;87416;0;-30;1437
511,1;87420;0;0;1443
517,1;87424;2;-22;1441
529,1;87420;1;-73;1438
535,1;87420;1;-8;1440
541,1;87420;-1;-51;1438
553,1;87420;0;-30;1446
559,1;87420;-1;14;1445
565,1;87420;0;-44;1439
577,1;87420;0;-30;1445
583,1;87416;-1;-37;1439
589,1;87420;0;-37;1439
595,1;87420;0;-30;1441
607,1;87420;1;0;1438
613,1;87420;0;-30;1443
619,1;87416;0;-30;1441
631,1;87416;0;-44;1438
637,1;87424;3;-102;1442
643,1;87420;0;29;1440
649,1;87420;1;-30;1438
661,1;87420;0;-37;1441
667,1;87420;1;0;1438
673,1;87416;0;-30;1441
685,1;87416;0;29;1437
691,1;87420;0;-44;1443
697,1;87424;1;-15;1440
703,1;87420;-1;-15;1439
715,1;87420;2;-37;1442
721,1;87416;-1;-44;1439
727,1;87420;0;-37;1438
739,1;87420;0;-44;1442
745,1;87420;0;21;1438
751,1;87416;-1;-15;1442
764,1;87420;0;-30;1438
769,1;87420;0;-44;1439
775,1;87416;0;-8;1438
781,1;87416;0;-30;1439
793,1;87420;0;-44;1440
799,1;87416;0;-37;1441
805,1;87416;0;-8;1439
817,1;87416;0;-44;1444
823,1;87420;0;-30;1442
829,1;87416;0;-37;1440
835,1;87416;-1;0;1442
847,1;87420;2;-8;1435
853,1;87416;-1;-30;1441
859,1;87420;0;-59;1441
871,1;87420;0;-44;1440
877,1;87420;0;0;1442
883,1;87416;0;-8;1437
889,1;87416;0;-8;1438
895,1;87416;-1;0;1440
901,1;87420;-1;-66;1439
907,1;87420;0;-30;1436
919,1;87420;0;-15;1441
925,1;87420;0;-15;1434
937,1;87420;0;-59;1444
967,1;87416;1;-15;1439
973,1;87420;0;0;1442
991,1;87420;-1;-37;1440
997,1;87416;-1;0;1440
1003,1;87416;0;-8;2521
1015,1;84238;-550;-1099;4611
1027,1;69811;-1578;-1266;5188
1045,1;28125;-2699;-640;2219
1058,1;-6754;-2394;-15;1657
1069,1;-3137;1024;-66;1489
1075,1;3577;1101;-117;1467
1108,1;42104;1232;36;1436
1112,1;47122;1282;29;1434
1117,1;54632;1288;-22;1436
1129,1;70611;1356;-30;1430
1135,1;78684;1328;14;1437
1141,1;87002;1376;29;1431
1154,1;84818;-148;-22;1438
1160,1;84766;-19;43;1438
1165,1;84836;40;-22;1435
1172,1;84937;25;21;1438
1183,1;86225;147;-8;1436
1189,1;87060;141;-66;1436
1195,1;87319;-23;-30;1440
1207,1;87468;31;-44;1439
1213,1;87411;5;-44;1446
1219,1;87394;-10;-8;1444
1226,1;87394;2;-30;1439
1231,1;87433;9;-66;1444
1237,1;87420;-3;7;1445
1243,1;87429;-3;0;1439
1256,1;87420;0;29;1441
1261,1;87433;0;14;1442
1268,1;87433;0;-30;1438
1279,1;87424;-1;-102;1441
1286,1;87429;1;-30;1436
1291,1;87433;0;-15;1440
1298,1;87433;0;-51;1440
1309,1;87429;0;-30;1438
1316,1;87429;1;0;1439
1321,1;87433;2;0;1441
1333,1;87429;-1;7;1442
1339,1;87433;1;-30;1444
1345,1;87429;-1;-30;1441
1351,1;87433;0;-15;1447
1363,1;87433;0;-8;1438
1369,1;87433;0;14;1439
1375,1;87433;0;-8;1442
1387,1;87437;3;-22;1437
