
13/06/2018;17:12:00

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87433;-1;29;1438
16,1;87433;0;-30;1439
18,1;87437;0;-8;1438
24,1;87429;0;-59;1440
36,1;87433;0;-30;1439
42,1;87433;0;-30;1436
48,1;87437;0;-30;1438
54,1;87433;1;0;1440
66,1;87429;-1;-8;1446
72,1;87437;1;-8;1441
78,1;87433;0;-37;1437
90,1;87433;-1;-8;1443
96,1;87433;0;-15;1440
102,1;87433;0;-8;1435
108,1;87429;-1;-51;1439
115,1;87433;-1;-66;1440
120,1;87433;1;21;1437
126,1;87433;0;-30;1445
138,1;87433;0;-30;1439
145,1;87433;0;-8;1444
150,1;87433;0;-15;1446
162,1;87433;0;-15;1438
168,1;87433;0;-30;1442
174,1;87433;1;-15;1440
180,1;87433;0;-30;1433
193,1;87433;0;7;1444
198,1;87429;-1;0;1438
205,1;87433;1;-8;1445
216,1;87433;1;-8;1441
222,1;87429;0;0;1439
228,1;87433;1;-15;1445
234,1;87429;0;0;1442
247,1;87433;0;0;1441
252,1;87433;0;7;1442
258,1;87437;0;-15;1436
270,1;87433;-1;-30;1440
276,1;87437;1;-37;1441
282,1;87429;-1;-30;1435
295,1;87429;0;-30;1439
301,1;87429;0;-44;1437
306,1;87433;0;36;1443
313,1;87433;0;7;1442
325,1;87429;0;0;1442
330,1;87433;0;-8;1444
336,1;87429;0;29;1440
349,1;87433;1;7;1442
354,1;87429;0;29;1441
360,1;87433;0;7;1436
367,1;87429;0;-30;1441
379,1;87429;-2;0;1436
384,1;87433;0;-73;1438
390,1;87433;0;0;1441
403,1;87433;0;-44;1437
408,1;87433;0;-30;1441
414,1;87429;0;7;1436
420,1;87433;1;14;1435
432,1;87433;-1;-37;1443
439,1;87433;0;-44;1436
444,1;87433;0;-8;1438
457,1;87433;0;0;1441
462,1;87433;0;-15;1438
469,1;87429;-1;0;1444
481,1;87429;-1;21;1438
487,1;87433;0;0;1441
492,1;87433;0;0;1441
499,1;87433;0;-30;1438
511,1;87433;0;-8;1439
517,1;87433;2;-22;1438
522,1;87433;0;-59;1436
535,1;87433;0;0;1443
541,1;87437;0;-30;1436
547,1;87433;0;-15;1443
552,1;87429;0;-37;1440
565,1;87429;0;-8;2523
571,1;87433;1;43;3890
576,1;86567;-221;-1099;4611
595,1;65636;-1776;-1244;5315
601,1;52532;-2309;-1273;5362
607,1;36364;-2759;-1055;3522
640,1;2979;917;0;1496
