
13/06/2018;17:12:44

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87442;0;0;1439
15,1;87442;-1;0;1436
19,1;87446;0;0;1433
25,1;87446;0;-30;1440
37,1;87446;1;-37;1438
62,1;87442;-1;-37;1437
73,1;87446;0;0;1436
85,1;87451;0;-30;1438
91,1;87451;1;-8;1435
103,1;87446;-1;0;1435
109,1;87442;-2;-15;1438
115,1;87442;0;-30;1437
127,1;87446;0;-44;1443
133,1;87446;0;7;1444
139,1;87446;-1;0;1437
145,1;87446;0;-8;1443
157,1;87451;1;-15;1434
163,1;87446;0;-30;1437
169,1;87446;0;7;1438
181,1;87442;0;7;1434
187,1;87446;0;-37;1433
193,1;87451;1;-66;1435
205,1;87446;0;-15;1443
211,1;87446;0;-30;1442
217,1;87451;1;0;1433
223,1;87442;0;-30;1435
235,1;87442;0;-8;1437
241,1;87446;0;0;1439
247,1;87446;0;36;1442
259,1;87446;0;-15;1434
265,1;87446;0;-37;1441
271,1;87446;0;-15;1439
277,1;87446;0;-44;1437
289,1;87446;0;-30;1441
295,1;87446;0;-8;1439
301,1;87446;0;0;1438
313,1;87446;0;-37;1441
319,1;87446;1;-8;1438
325,1;87442;-1;7;1444
331,1;87446;0;7;1444
337,1;87446;1;-44;1440
343,1;87446;0;21;1443
349,1;87446;0;-44;1444
361,1;87442;0;29;1436
367,1;87442;0;-44;1444
373,1;87442;0;-30;1443
385,1;87446;0;-15;1442
391,1;87446;0;-30;1438
397,1;87451;1;-15;1435
403,1;87442;0;-30;1438
415,1;87446;-1;0;1438
421,1;87442;-2;36;1437
427,1;87446;0;-15;1440
439,1;87442;-1;-15;1437
445,1;87446;0;-44;1442
451,1;87446;0;-8;1440
457,1;87446;-1;-8;1434
469,1;87446;0;-44;1442
475,1;87442;0;-22;1439
481,1;87446;0;-15;1438
493,1;87446;0;-59;1442
499,1;87442;-3;-44;1435
505,1;87446;0;7;1442
517,1;87446;0;-66;1435
523,1;87442;0;29;1439
529,1;87446;0;-30;1443
535,1;87446;0;0;1441
547,1;87446;0;-30;1442
553,1;87442;-1;-37;1443
559,1;87446;-1;-8;1439
571,1;87446;-1;0;1443
577,1;87446;-1;0;1437
583,1;87446;1;-44;1439
589,1;87446;0;0;1441
601,1;87446;0;-15;1438
607,1;87446;1;0;1443
613,1;87446;0;-8;1443
625,1;87446;0;7;1442
631,1;87446;0;7;1442
637,1;87446;-1;-30;1437
643,1;87446;0;0;1441
655,1;87446;1;-30;1441
661,1;87446;-1;-8;1434
667,1;87446;1;-30;1439
679,1;87446;0;-37;1437
685,1;87442;0;-37;1440
691,1;87446;0;-51;1440
703,1;87442;-1;0;1441
709,1;87446;0;-30;1442
715,1;87442;0;-44;1440
721,1;87446;0;-15;1439
733,1;87442;0;0;1440
739,1;87442;2;-30;1435
751,1;87446;0;-73;1436
763,1;87446;0;-44;1439
769,1;87446;0;-15;1443
795,1;87446;0;-30;1443
805,1;87442;1;-30;1441
817,1;87442;-1;7;1440
829,1;87446;0;-30;1437
835,1;87442;-2;-15;1436
841,1;87442;0;-8;1438
847,1;87446;1;-8;1442
860,1;87446;0;0;1439
865,1;87442;-1;-15;1441
871,1;87446;0;0;1442
889,1;87442;-1;-15;1438
895,1;87442;0;-30;1435
901,1;87446;0;-30;1436
907,1;87442;0;21;1438
919,1;87446;1;-30;1436
925,1;87451;1;0;1441
931,1;87446;0;0;1439
943,1;87451;0;0;1438
949,1;87446;0;-30;1442
955,1;87442;0;0;1441
967,1;87446;0;-15;1441
973,1;87446;0;-30;1445
979,1;87446;0;-30;1436
985,1;87442;0;-110;1444
997,1;87446;0;-44;1440
1003,1;87446;-1;-15;1440
1009,1;87446;1;0;1443
1021,1;87442;-1;-73;1438
1027,1;87446;0;-15;1443
1033,1;87446;0;-8;1442
1039,1;87446;0;0;1436
1051,1;87446;0;0;1439
1057,1;87446;0;-37;1433
1063,1;87446;0;-37;1438
1075,1;87446;0;-30;1443
1081,1;87442;0;0;1437
1087,1;87446;0;-59;1441
1093,1;87442;0;-8;1440
1105,1;87442;0;7;1440
1111,1;87442;-2;0;1440
1117,1;87446;1;7;1435
1129,1;87451;0;-30;1442
1135,1;87446;0;-30;1441
1141,1;87446;2;-15;1440
1153,1;87446;1;-44;1441
1159,1;87446;0;-30;1435
1165,1;87442;0;-8;1438
1171,1;87446;1;0;1439
1183,1;87446;0;0;1439
1189,1;87442;-1;0;1441
1195,1;87442;0;-15;1437
1207,1;87446;0;0;1441
1213,1;87446;0;-30;1440
1219,1;87446;-1;-15;1436
1225,1;87446;-1;-37;1439
1237,1;87446;1;-146;1438
1243,1;87446;0;-30;1442
1249,1;87446;0;7;1445
1261,1;87446;0;-8;1440
1267,1;87446;0;-15;1443
1273,1;87442;0;0;1441
1279,1;87446;0;-117;1436
1285,1;87446;0;-30;1442
1291,1;87446;1;-15;1443
1297,1;87446;1;-37;1435
1309,1;87446;1;-51;1442
1315,1;87442;0;-8;1441
1321,1;87446;-1;-44;1437
