
13/06/2018;17:17:30

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87376;0;-80;1429
10,1;87376;1;0;1437
18,1;87376;2;-30;1435
22,1;87372;-2;-30;1431
34,1;87376;0;-30;1437
40,1;87372;0;-30;1432
46,1;87376;1;0;1436
52,1;87376;0;-15;1443
64,1;87372;-1;-22;1437
70,1;87376;-2;0;1442
76,1;87376;-2;-8;1442
88,1;87376;0;-15;1440
94,1;87376;0;-8;1438
100,1;87376;1;7;1435
106,1;87372;0;-30;1438
118,1;87376;0;-8;1434
124,1;87376;1;-8;1434
130,1;87372;0;-66;1441
142,1;87372;-1;0;1437
148,1;87380;2;0;1436
154,1;87372;-1;-8;1439
166,1;87376;0;0;1439
172,1;87372;0;-8;1438
178,1;87372;0;-30;1436
184,1;87376;0;-8;1440
196,1;87376;0;-22;1440
202,1;87376;0;29;1436
208,1;87376;1;0;1441
220,1;87376;0;0;1433
226,1;87376;0;0;1437
232,1;87376;1;-51;1436
238,1;87380;1;-73;1432
250,1;87376;-1;-80;1439
256,1;87372;0;-15;1437
262,1;87376;-1;-44;1433
274,1;87376;1;7;1438
280,1;87380;3;-15;1435
286,1;87376;0;-30;1441
292,1;87372;0;-37;1442
304,1;87372;0;-44;1437
310,1;87376;0;29;1439
316,1;87376;-1;-44;1438
328,1;87376;1;-30;1441
334,1;87376;-1;-51;1440
340,1;87380;1;0;1436
352,1;87376;0;-30;1440
358,1;87376;0;-30;1435
364,1;87376;1;0;1435
370,1;87376;0;-37;1440
382,1;87376;0;-15;1432
388,1;87372;0;43;1438
394,1;87376;-1;-37;1437
406,1;87376;0;-30;1440
412,1;87376;0;29;1438
418,1;87376;0;-15;1436
424,1;87376;0;-30;1440
436,1;87376;0;43;1437
442,1;87376;0;0;1439
448,1;87376;0;-8;1443
460,1;87376;0;0;1438
466,1;87376;1;-8;1441
472,1;87372;0;36;1439
