
13/06/2018;17:15:41

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87424;1;14;1436
12,1;87429;1;-30;1435
16,1;87429;0;-30;1434
22,1;87424;0;-22;1439
34,1;87424;-1;-30;1436
40,1;87429;0;-30;1438
46,1;87429;0;-15;1443
58,1;87424;0;-44;1436
64,1;87429;0;-30;1440
70,1;87429;0;-44;1438
76,1;87429;0;7;1436
88,1;87424;0;-15;1444
94,1;87424;0;0;1439
100,1;87433;2;0;1440
112,1;87429;0;-30;1440
118,1;87424;0;-30;1437
124,1;87424;-1;-30;1443
130,1;87429;0;0;1441
142,1;87429;0;-15;1441
148,1;87424;0;-30;1441
154,1;87424;0;0;1433
166,1;87429;0;-73;1439
172,1;87424;0;-59;1437
178,1;87424;0;-30;1438
184,1;87424;0;-22;1441
196,1;87429;0;-44;1435
202,1;87429;-2;-30;1442
208,1;87429;0;-30;1442
220,1;87424;0;-8;1437
226,1;87429;0;-66;1439
232,1;87424;0;7;1436
244,1;87429;0;-15;1435
250,1;87429;1;0;1435
256,1;87424;0;-66;1430
262,1;87424;0;-8;1436
274,1;87424;0;-44;1435
280,1;87424;0;-30;1437
286,1;87429;0;0;1441
298,1;87424;0;-30;1436
304,1;87429;0;0;1436
310,1;87429;1;-30;1435
316,1;87429;0;7;1431
328,1;87424;0;-37;1438
334,1;87424;0;21;1435
340,1;87429;0;-59;1437
352,1;87424;-1;14;1432
358,1;87424;1;-8;1431
364,1;87429;1;-80;1442
370,1;87429;0;-37;1438
376,1;87424;0;-8;1434
382,1;87429;3;-37;1438
388,1;87424;0;-44;1441
400,1;87429;0;-44;1438
406,1;87424;0;-15;1437
412,1;87429;1;-59;1436
424,1;87424;0;-37;1439
430,1;87424;-1;-8;1437
436,1;87424;0;29;1433
442,1;87429;0;-59;1439
454,1;87424;0;-30;1434
460,1;87424;-1;-44;1435
466,1;87429;0;-51;1435
478,1;87424;0;-8;1431
484,1;87429;0;-44;1436
490,1;87429;0;0;1436
496,1;87429;0;-73;1434
508,1;87429;0;-37;1436
514,1;87424;0;7;1433
520,1;87424;0;-8;1436
532,1;87424;0;-30;1432
538,1;87433;2;-59;1431
544,1;87429;0;-44;1439
556,1;87424;1;-30;1434
568,1;87424;0;-8;1436
574,1;87429;0;-15;1431
586,1;87424;-1;-15;1440
592,1;87424;0;-30;1437
598,1;87429;0;-44;1436
604,1;87424;0;21;1440
616,1;87420;-3;-30;1432
622,1;87424;-1;-168;1437
628,1;87429;0;-51;1434
640,1;87429;0;0;1437
656,1;87429;0;-15;1437
658,1;87424;0;-37;1435
676,1;87424;1;-15;1436
682,1;87429;1;-8;1439
688,1;87429;0;-30;1440
700,1;87424;0;-30;1437
706,1;87424;-1;-8;1439
712,1;87429;0;-51;1438
724,1;87429;-1;-30;1435
730,1;87424;0;-30;1434
736,1;87429;1;0;1432
742,1;87429;0;-37;1441
754,1;87424;-1;7;1433
760,1;87424;0;0;1439
766,1;87429;2;0;1441
778,1;87429;1;7;1437
784,1;87424;0;-15;1439
790,1;87424;-1;-8;1437
796,1;87429;0;-44;1433
802,1;87424;0;-44;1439
808,1;87424;0;29;1440
814,1;87424;0;0;1433
826,1;87420;-1;-146;1438
832,1;87429;1;-8;1433
838,1;87429;0;-22;1435
850,1;87433;1;-8;1437
856,1;87429;0;-44;1434
862,1;87424;0;-44;1440
868,1;87429;1;-51;1439
880,1;87429;0;-30;1437
886,1;87429;0;-30;1437
892,1;87429;0;-8;2565
904,1;85280;-455;-1404;6058
916,1;69842;-1705;-1048;4229
922,1;57541;-2112;-844;2923
952,1;-9518;-160;72;1492
958,1;-4781;799;-15;1461
964,1;914;916;-88;1451
976,1;11895;958;0;1430
982,1;17731;988;0;1433
988,1;23655;1013;-44;1429
1000,1;36417;1073;-8;1430
1006,1;42684;1077;0;1432
1012,1;49486;1100;0;1430
1018,1;56311;1148;-8;1432
1024,1;63338;1198;79;1432
1030,1;70347;1195;-15;1432
1036,1;77589;1181;58;1429
1048,1;86519;-91;-15;1432
1054,1;85407;-169;0;1429
1060,1;85069;-23;-37;1432
1072,1;85398;16;50;1435
1078,1;85965;114;0;1432
1084,1;86809;181;-15;1436
1090,1;87394;13;-44;1438
1102,1;87380;15;-8;1439
1108,1;87420;18;-15;1437
1114,1;87416;-1;-44;1437
1126,1;87385;1;-8;1441
1132,1;87376;-2;7;1441
1138,1;87433;-2;0;1440
1144,1;87442;8;-30;1444
1156,1;87420;-2;-15;1434
1162,1;87433;2;-30;1438
1168,1;87437;2;-15;1437
1180,1;87429;-2;0;1438
1186,1;87437;0;-30;1441
1192,1;87442;1;-15;1438
1204,1;87429;-1;-15;1438
1210,1;87437;0;29;1438
1216,1;87433;-1;-15;1432
1222,1;87442;1;-30;1435
1234,1;87433;-3;0;1434
1240,1;87429;-2;-8;1437
1246,1;87433;2;-8;1440
1258,1;87442;0;-30;1437
1264,1;87437;-1;0;1443
1270,1;87429;-1;-30;1440
1276,1;87433;2;7;1433
1288,1;87442;1;7;1442
1294,1;87442;1;-30;1438
1300,1;87433;-1;0;1439
1312,1;87433;0;-73;1441
1324,1;87433;-1;21;1439
1342,1;87437;0;14;1438
1373,1;87437;0;-30;1434
1378,1;87433;0;-44;1435
1390,1;87442;0;-8;1440
1396,1;87442;0;-66;1435
1402,1;87437;-1;-37;1441
1414,1;87433;0;-30;1431
1420,1;87437;0;-30;1436
1426,1;87437;0;0;1439
1432,1;87437;-1;-44;1436
1444,1;87433;0;21;1443
1450,1;87437;0;-66;1443
1456,1;87437;0;7;1437
1468,1;87442;0;-44;1438
1474,1;87437;0;-30;1434
1480,1;87437;1;-44;1437
1492,1;87442;0;65;1437
1498,1;87437;-1;-30;1435
1504,1;87433;-2;-44;1439
1510,1;87437;0;0;1439
1522,1;87437;0;-30;1439
1528,1;87442;0;-15;1438
1534,1;87442;1;-15;1437
