
13/06/2018;17:22:16

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87394;0;-8;1031
16,1;87394;0;14;1035
18,1;87389;1;7;1034
24,1;87389;-1;-8;1029
36,1;87394;0;0;1038
41,1;87394;-1;0;1035
48,1;87394;0;-51;1033
54,1;87394;0;0;1035
66,1;87394;0;-30;1029
72,1;87394;0;36;1037
78,1;87389;-1;-15;1037
90,1;87394;1;-15;1036
96,1;87389;0;-30;1036
102,1;87394;0;-44;1034
108,1;87389;-1;-30;1030
114,1;87394;0;-37;1034
120,1;87394;0;-8;1034
126,1;87389;-1;-15;1028
138,1;87394;-1;-8;1034
144,1;87394;0;-37;1030
150,1;87394;1;-8;1036
162,1;87394;0;7;1037
168,1;87394;0;-59;1034
174,1;87389;-1;-15;1041
180,1;87394;0;-8;1035
192,1;87394;0;-15;1040
198,1;87394;0;0;1039
204,1;87389;0;-30;1032
216,1;87394;0;-30;1037
222,1;87394;1;-8;1035
228,1;87394;0;-59;1034
234,1;87394;0;-8;1037
246,1;87394;1;-8;1032
252,1;87389;0;0;1035
258,1;87398;0;-44;1037
270,1;87394;-1;-66;1037
276,1;87394;0;-80;1036
282,1;87389;0;-8;1032
294,1;87389;0;29;1038
300,1;87394;0;0;1034
306,1;87394;0;0;1030
312,1;87389;0;-44;1035
324,1;87394;1;-44;1030
330,1;87394;1;-8;1034
336,1;87394;0;-30;1036
348,1;87394;0;-15;1030
354,1;87389;-1;0;1034
360,1;87394;0;7;1037
366,1;87394;0;-146;1032
378,1;87394;0;-8;1037
384,1;87389;-1;-30;1033
390,1;87389;0;0;1038
402,1;87394;0;-44;1030
408,1;87394;0;0;1033
414,1;87394;0;-30;1035
420,1;87394;-1;-30;1031
432,1;87394;0;-30;1035
438,1;87394;0;-37;1035
444,1;87394;0;-8;1030
456,1;87389;0;-30;1037
462,1;87394;1;-44;1032
468,1;87394;0;-30;1033
480,1;87394;0;-73;1034
486,1;87394;0;-37;1031
492,1;87394;0;-22;1034
498,1;87389;0;-8;1034
510,1;87394;1;21;1035
516,1;87398;1;-66;1036
522,1;87389;0;-44;1033
534,1;87389;0;-30;1040
540,1;87394;0;-59;1037
546,1;87394;0;36;1034
552,1;87389;-2;-37;1037
564,1;87389;0;0;1035
570,1;87394;-2;-37;1040
