
13/06/2018;17:20:51

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87372;0;-30;1033
23,1;87367;0;-73;1034
29,1;87367;-1;-15;1032
35,1;87363;-2;-8;1036
41,1;87367;0;-146;1034
47,1;87367;1;36;1029
59,1;87367;0;-44;1034
65,1;87367;0;7;1029
71,1;87367;0;-15;1030
83,1;87367;-1;-117;1030
89,1;87372;0;-37;1033
95,1;87372;0;-15;1035
101,1;87367;0;-15;1036
113,1;87367;0;0;1034
119,1;87372;0;-15;1033
125,1;87372;0;-30;1031
137,1;87372;1;0;1035
143,1;87372;0;0;1029
149,1;87367;0;-30;1031
155,1;87372;3;-8;1035
161,1;87372;1;-37;1036
167,1;87367;0;-15;1032
173,1;87372;0;-30;1039
185,1;87372;0;-30;1034
191,1;87372;0;-37;1035
197,1;87372;0;-30;1034
209,1;87376;1;0;1034
215,1;87372;0;-44;1039
221,1;87372;-1;-30;1033
227,1;87367;-2;-44;1032
239,1;87367;0;-44;1034
245,1;87367;1;-44;1032
251,1;87372;1;-30;1034
263,1;87367;0;-44;1028
269,1;87367;-1;-44;1027
275,1;87372;0;0;1033
281,1;87367;0;-8;1036
293,1;87367;-1;-30;1034
299,1;87372;1;21;1036
305,1;87367;-1;-15;1032
317,1;87372;0;7;1037
323,1;87367;-1;-30;1035
329,1;87372;0;-15;1038
341,1;87367;-2;-44;1039
347,1;87367;-1;0;1035
353,1;87372;0;-30;1039
359,1;87367;-1;-30;1034
371,1;87372;0;-30;1033
377,1;87363;0;-8;1035
383,1;87372;1;29;1035
395,1;87372;0;-44;1034
401,1;87367;0;-8;1036
407,1;87372;0;0;1031
413,1;87372;0;-30;1035
425,1;87372;0;-15;1032
431,1;87372;0;-15;1036
437,1;87367;-1;-30;1038
449,1;87367;0;0;1033
455,1;87372;0;-30;1036
461,1;87372;0;-37;1037
467,1;87372;0;-30;1034
479,1;87372;1;-22;1036
485,1;87367;0;-30;1033
491,1;87372;0;-8;1034
503,1;87372;0;0;1032
509,1;87367;0;7;1032
515,1;87372;0;-8;1036
527,1;87367;-1;-37;1031
533,1;87367;0;43;1039
545,1;87372;0;21;1031
577,1;87367;-1;-30;1037
581,1;87372;0;0;1036
593,1;87372;0;-66;1041
599,1;87372;0;-51;1039
605,1;87367;0;7;1034
611,1;87372;0;-8;1039
623,1;87367;0;-37;1036
629,1;87372;0;-73;1035
635,1;87367;0;-37;1039
647,1;87367;0;-59;1032
653,1;87372;0;-8;1036
659,1;87372;0;0;1033
665,1;87372;0;-44;1031
677,1;87372;0;0;1034
683,1;87367;-1;-44;1035
689,1;87372;0;-15;1033
701,1;87367;0;-30;1033
707,1;87372;0;-44;1034
713,1;87372;0;-44;1039
719,1;87372;0;-30;1036
731,1;87367;-1;-8;1032
737,1;87367;0;-30;1035
743,1;87372;0;-73;1033
755,1;87372;1;-37;1032
761,1;87367;-1;0;1033
767,1;87372;0;-30;1032
779,1;87372;0;-44;1035
785,1;87367;0;0;1031
791,1;87367;-1;-30;1034
798,1;87367;0;-80;1036
809,1;87372;0;-15;1032
815,1;87367;-1;-8;1038
821,1;87372;1;-37;1034
834,1;87372;0;0;1034
839,1;87367;0;-15;1037
845,1;87367;0;0;1028
851,1;87372;0;14;1035
863,1;87372;1;36;1033
869,1;87367;0;0;1031
875,1;87367;-1;-37;1037
887,1;87372;0;-37;1030
893,1;87367;0;43;1037
899,1;87372;0;-30;1034
905,1;87372;1;7;1031
917,1;87372;0;0;1034
923,1;87367;0;-30;1033
929,1;87372;0;-30;1035
941,1;87372;0;-30;1035
947,1;87372;0;-15;1031
954,1;87372;0;0;1038
965,1;87372;0;-30;1029
971,1;87367;-1;-88;1036
977,1;87372;1;-8;1038
984,1;87372;0;0;1032
995,1;87367;0;-30;1038
1001,1;87372;0;0;1035
1007,1;87367;0;-30;1033
1019,1;87372;1;7;1037
1025,1;87372;0;0;1027
1031,1;87367;0;0;1036
1037,1;87367;0;14;1038
1049,1;85772;-378;-1586;6763
1061,1;69969;-1827;-1331;5635
1067,1;56487;-2316;-968;3471
1079,1;24279;-2853;-582;1719
1092,1;-9562;-1913;-590;1206
1097,1;-8758;473;0;1132
1123,1;21304;1199;21;1034
1128,1;26731;1250;14;1029
1140,1;41796;1259;-15;1035
1145,1;49456;1291;14;1020
1151,1;57216;1299;-51;1027
1163,1;73599;1393;-15;1024
1169,1;81707;1383;-15;1025
1175,1;87121;241;29;1027
1181,1;85394;-201;0;1029
1194,1;84665;-19;-8;1033
1199,1;84928;32;0;1031
1205,1;85130;74;-51;1026
1218,1;86563;149;14;1035
1223,1;87477;129;-110;1034
1229,1;87060;-37;0;1035
1235,1;87117;3;-8;1039
1247,1;87376;0;-30;1033
1253,1;87372;6;-37;1038
1259,1;87372;0;-8;1036
1271,1;87380;6;-30;1038
1277,1;87376;2;-37;1036
1283,1;87372;0;29;1032
1289,1;87376;0;-30;1033
1301,1;87376;-1;-15;1035
1314,1;87376;0;-44;1037
1325,1;87380;0;-88;1031
1342,1;87376;0;-8;1037
1343,1;87376;-1;-30;1036
1361,1;87376;0;29;1037
1367,1;87376;1;-30;1033
1374,1;87380;1;-15;1038
1385,1;87376;0;21;1035
1391,1;87376;0;-44;1037
1398,1;87372;0;21;1036
1403,1;87380;0;-30;1035
1409,1;87380;0;-15;1035
1415,1;87376;0;-15;1037
1422,1;87376;0;-59;1034
1433,1;87380;0;-8;1035
1439,1;87380;2;43;1034
1446,1;87376;0;21;1029
1457,1;87376;0;-15;1036
1463,1;87376;-1;0;1031
1469,1;87380;2;-8;1032
1475,1;87376;-2;-30;1035
1487,1;87376;0;-30;1034
1493,1;87376;0;-66;1037
1499,1;87376;1;-37;1037
1511,1;87376;0;-15;1038
1517,1;87376;-1;0;1040
1523,1;87376;-1;-8;1036
1529,1;87376;0;-30;1033
1541,1;87385;1;-80;1036
1547,1;87376;0;21;1029
1553,1;87380;0;-15;1034
1565,1;87376;0;7;1029
1571,1;87376;-2;21;1036
1577,1;87380;0;-22;1036
1589,1;87376;0;-15;1032
1595,1;87376;-1;0;1036
1601,1;87376;0;-30;1036
1608,1;87380;1;0;1033
1619,1;87376;0;0;1034
1626,1;87372;-1;-15;1031
1631,1;87376;0;-44;1035
1644,1;87380;0;0;1034
1649,1;87376;0;29;1033
1655,1;87376;-2;-66;1038
1662,1;87376;1;-30;1034
1673,1;87380;1;-59;1036
1679,1;87380;0;-15;1038
1686,1;87376;0;-30;1033
1697,1;87372;0;-30;1036
1704,1;87380;2;-15;1033
1710,1;87380;0;14;1035
1716,1;87380;1;0;1033
1728,1;87380;0;-8;1030
1734,1;87380;0;-37;1033
1739,1;87380;0;-15;1035
1752,1;87372;0;0;1038
1757,1;87376;-2;7;1035
1764,1;87376;0;-73;1031
1776,1;87380;0;36;1034
