
13/06/2018;17:24:08

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87429;0;0;31
19,1;87429;0;-30;29
21,1;87429;0;-30;30
27,1;87424;0;-37;29
39,1;87429;1;-168;30
63,1;87424;-1;0;28
69,1;87429;0;-15;19
87,1;87429;0;0;26
93,1;87424;-1;-44;24
105,1;87429;0;-44;30
111,1;87424;0;7;25
117,1;87424;-1;-44;31
123,1;87424;0;-88;31
135,1;87424;-1;21;29
141,1;87429;1;-30;32
147,1;87424;0;-15;32
159,1;87429;0;-30;29
165,1;87429;1;0;30
171,1;87429;1;-15;26
177,1;87433;0;-30;27
189,1;87429;0;-15;29
195,1;87429;0;-44;30
201,1;87424;0;-30;33
213,1;87424;-1;-30;26
219,1;87429;0;-44;34
225,1;87429;0;0;31
231,1;87429;1;-37;24
237,1;87429;1;-44;30
243,1;87429;0;-44;31
249,1;87429;0;0;28
261,1;87429;0;-66;30
267,1;87429;0;-59;30
273,1;87429;0;-44;26
285,1;87429;0;0;34
291,1;87433;0;-146;29
297,1;87429;0;-37;29
303,1;87424;0;-51;31
315,1;87424;0;-160;28
321,1;87424;-2;-30;32
327,1;87429;0;-44;30
339,1;87429;0;-66;32
345,1;87429;1;0;34
351,1;87429;0;-30;28
357,1;87429;0;-8;29
369,1;87424;-1;-37;29
375,1;87429;1;-30;28
381,1;87429;0;-30;28
393,1;87429;0;-15;26
399,1;87424;0;0;31
405,1;87424;0;-30;29
417,1;87424;0;-30;30
423,1;87429;0;-30;31
429,1;87429;1;-37;28
435,1;87429;0;-30;26
447,1;87429;0;-37;27
453,1;87424;0;-30;24
459,1;87424;0;50;33
471,1;87429;0;-22;27
477,1;87429;1;-30;31
483,1;87424;0;-37;30
489,1;87429;1;0;28
501,1;87429;0;0;32
507,1;87429;1;-44;32
513,1;87429;0;-15;28
525,1;87424;-1;0;27
531,1;87424;0;-8;21
537,1;87429;-1;-15;27
543,1;87429;1;-15;31
555,1;87424;0;-8;26
561,1;87429;-1;-44;32
567,1;87429;0;-15;30
579,1;87429;0;-30;28
585,1;87429;0;-37;29
591,1;87429;0;-15;23
603,1;87429;0;-8;32
609,1;87429;-1;-15;25
615,1;87424;0;-66;26
621,1;87424;0;-8;31
633,1;87424;-1;-66;26
639,1;87429;0;-73;34
645,1;87429;-1;-51;30
657,1;87429;0;-73;27
663,1;87429;0;-30;28
669,1;87429;-1;0;23
675,1;87424;0;0;22
687,1;87429;0;-8;30
693,1;87424;0;7;26
699,1;87424;0;0;30
711,1;87429;0;29;25
717,1;87429;1;-15;29
723,1;87424;0;0;33
729,1;87429;-1;0;28
735,1;87429;0;-30;28
747,1;87424;-1;-30;28
759,1;87429;0;-30;28
765,1;87424;-1;-15;29
780,1;87424;0;-30;30
789,1;87424;-2;-30;27
801,1;87424;0;-30;33
807,1;87429;-1;0;29
819,1;87429;1;-30;31
825,1;87424;0;-73;27
831,1;87429;0;-66;22
843,1;87424;0;-37;30
849,1;87429;1;-8;27
855,1;87424;0;0;27
861,1;87429;0;-8;29
873,1;87429;0;7;25
879,1;87429;0;-88;31
885,1;87424;0;-37;30
897,1;87424;0;0;30
903,1;87429;0;-102;31
909,1;87429;0;0;29
915,1;87429;0;-30;28
927,1;87429;0;7;31
933,1;87424;0;0;25
939,1;87429;0;36;31
951,1;87424;0;-37;26
957,1;87429;0;29;29
963,1;87424;-2;-22;31
969,1;87429;0;-15;28
981,1;87429;0;-15;28
987,1;87429;0;50;28
993,1;87429;1;0;23
1005,1;87433;3;-44;31
1011,1;87424;-1;0;23
1017,1;87429;0;7;30
1029,1;87424;0;36;29
1035,1;87424;0;-30;28
1041,1;87424;0;0;30
1047,1;87429;0;-37;28
1059,1;87429;0;-15;28
1065,1;87429;0;-30;31
1071,1;87424;-3;0;25
1083,1;87433;2;-8;31
1089,1;87429;0;-44;26
1095,1;87429;0;0;27
1101,1;87429;0;0;33
1113,1;87429;0;-44;24
1119,1;87429;0;-73;31
1125,1;87424;-1;-22;33
1137,1;87429;1;-44;28
1143,1;87429;1;-15;31
1149,1;87433;3;-59;27
1155,1;87424;0;-15;26
1161,1;87424;-2;0;30
1167,1;87433;3;-22;1932
1173,1;87429;0;0;5717
1185,1;83289;-808;-1971;8802
1197,1;63035;-2006;-837;2498
1203,1;49746;-2259;-473;1340
1233,1;-8182;190;36;69
1239,1;-3810;730;-51;52
1251,1;5541;799;29;29
1257,1;10713;864;-22;24
1263,1;15837;894;-66;27
1269,1;21357;907;0;23
1298,1;50646;1040;-15;22
1299,1;51178;1046;-8;22
1305,1;57493;1059;14;25
1317,1;70567;1092;-80;23
1323,1;77365;1132;138;27
1329,1;84423;1170;-15;20
1335,1;86664;-73;58;20
1347,1;85130;-44;-80;22
1353,1;85135;20;-37;17
1359,1;85442;24;0;25
1371,1;86638;153;-51;26
1377,1;87473;73;-37;28
1383,1;87380;0;0;31
1389,1;87429;22;-8;29
1395,1;87411;7;-59;29
1401,1;87385;-11;-37;30
1408,1;87420;-2;29;30
1419,1;87402;-3;-15;32
1425,1;87424;1;-30;31
1431,1;87433;0;-44;28
1443,1;87411;-4;-30;34
1449,1;87416;1;-15;31
1455,1;87429;2;-51;30
1461,1;87429;1;-30;33
1473,1;87420;0;0;28
1479,1;87424;0;-22;32
1485,1;87429;0;14;31
1497,1;87429;0;-8;31
1503,1;87424;0;14;35
1529,1;87424;1;-30;26
1539,1;87424;0;-73;31
1551,1;87429;0;-15;23
1576,1;87424;0;-8;29
1581,1;87429;1;0;31
1587,1;87424;0;-30;30
1599,1;87424;0;0;32
1605,1;87429;0;-30;35
1611,1;87433;1;0;27
1617,1;87424;0;-44;28
1629,1;87424;-1;-15;28
1635,1;87424;0;-44;24
1641,1;87433;0;-59;30
1653,1;87429;1;14;24
1659,1;87424;0;-30;31
1665,1;87424;2;-44;33
1677,1;87429;0;-37;28
1683,1;87424;0;-44;28
1689,1;87424;0;-37;27
1695,1;87420;0;-44;27
1707,1;87424;0;-95;29
1713,1;87429;1;-44;25
1719,1;87424;0;-37;31
1731,1;87429;1;-30;27
1737,1;87424;-1;-66;30
1743,1;87424;0;-8;31
1749,1;87429;-1;-44;27
1761,1;87429;0;-30;30
1767,1;87429;0;-30;28
1773,1;87429;0;-15;24
1785,1;87429;0;7;26
1791,1;87424;0;-30;20
1797,1;87424;0;36;26
1803,1;87429;0;7;28
1815,1;87424;0;-30;27
1821,1;87424;-1;0;29
1827,1;87424;0;43;27
1839,1;87424;0;-8;25
1845,1;87429;0;0;27
1851,1;87429;0;-8;24
1863,1;87424;0;-15;30
1869,1;87424;-1;-37;27
1875,1;87429;0;-37;25
1881,1;87429;0;-8;25
1893,1;87429;0;-15;25
1899,1;87424;-1;-8;29
1905,1;87429;0;-30;28
1917,1;87429;0;-30;30
1923,1;87429;1;0;36
1929,1;87424;0;-15;29
1935,1;87424;1;-37;29
1947,1;87424;0;-15;30
1953,1;87424;-1;0;20
1959,1;87424;-1;-37;28
1971,1;87429;1;-44;25
1977,1;87424;0;-44;27
1983,1;87424;-2;-15;25
1989,1;87424;0;0;24
1995,1;87429;1;-30;28
2001,1;87429;0;-59;33
2007,1;87424;0;-44;31
2019,1;87424;-1;-30;29
2025,1;87424;0;50;29
2031,1;87429;0;-30;23
2043,1;87429;0;0;25
2049,1;87424;0;0;28
2055,1;87424;-1;-15;26
2061,1;87420;-1;0;31
2073,1;87429;0;0;28
2079,1;87429;1;-30;33
2085,1;87433;1;-15;28
2097,1;87429;0;-44;24
2103,1;87429;1;29;25
2109,1;87424;-1;0;29
2115,1;87429;0;-66;27
2127,1;87429;1;-59;33
2133,1;87424;0;-44;25
2139,1;87429;0;-8;31
2151,1;87424;0;-66;26
2157,1;87429;0;-44;30
2163,1;87429;1;-44;26
2175,1;87433;2;-44;24
