
13/06/2018;17:24:55

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87411;-1;-8;30
6,1;87411;-1;0;28
18,1;87416;0;7;25
24,1;87420;1;7;34
30,1;87411;-2;-8;32
42,1;87420;0;-30;27
48,1;87411;0;-73;27
54,1;87416;0;0;24
60,1;87416;0;-8;30
72,1;87411;0;0;28
78,1;87416;0;-15;27
84,1;87416;0;-15;30
96,1;87416;0;-73;23
102,1;87416;0;-30;29
108,1;87416;0;0;31
114,1;87416;1;-8;28
126,1;87416;0;-8;28
132,1;87416;-1;-44;26
138,1;87416;0;0;24
150,1;87416;0;0;31
156,1;87411;-2;29;26
162,1;87416;0;-8;34
168,1;87416;0;-15;31
174,1;87416;0;-37;26
180,1;87416;0;-44;28
186,1;87416;0;0;31
198,1;87416;0;-8;27
204,1;87416;0;-30;31
210,1;87411;-1;-51;27
249,1;87416;0;0;27
252,1;87420;2;0;26
270,1;87416;-1;-30;34
276,1;87416;1;-59;28
282,1;87416;0;-30;32
294,1;87416;0;-44;24
300,1;87416;0;0;25
306,1;87416;-1;14;31
312,1;87416;0;-30;32
324,1;87416;0;-146;34
330,1;87416;0;14;28
336,1;87416;-1;-30;24
348,1;87416;-1;-30;30
354,1;87416;0;-30;26
360,1;87416;-2;7;26
366,1;87416;1;-30;31
378,1;87416;0;-30;28
384,1;87416;0;0;33
390,1;87411;0;-15;32
402,1;87416;0;-8;29
408,1;87416;0;-8;31
414,1;87411;0;-22;22
420,1;87416;0;0;27
432,1;87416;0;-30;25
438,1;87416;0;0;28
444,1;87411;-1;-117;32
456,1;87416;1;-15;23
462,1;87420;1;7;33
468,1;87416;0;36;30
480,1;87420;-1;-59;28
486,1;87416;0;-22;33
492,1;87411;-2;7;31
498,1;87416;0;-15;27
510,1;87407;-2;0;33
516,1;87416;0;65;30
522,1;87416;0;-80;34
534,1;87416;0;7;27
540,1;87416;0;0;29
546,1;87416;1;0;34
552,1;87420;0;-73;32
564,1;87416;1;-30;34
570,1;87416;-1;-66;32
576,1;87420;1;-44;28
588,1;87416;1;-30;29
594,1;87416;0;-59;26
600,1;87416;-1;50;27
606,1;87416;3;0;33
612,1;87416;0;0;29
618,1;87416;0;-59;26
624,1;87416;1;-66;34
636,1;87416;0;-44;27
642,1;87416;0;0;36
648,1;87416;0;-30;35
660,1;87420;1;65;31
666,1;87416;0;-15;33
672,1;87416;0;-30;27
678,1;87420;1;7;26
690,1;87416;0;-110;30
696,1;87416;0;-37;28
702,1;87416;2;-73;31
714,1;87420;0;-30;25
720,1;87420;1;-37;30
726,1;87411;-2;21;30
732,1;87416;1;-30;26
744,1;87411;-1;0;27
750,1;87420;3;-15;32
756,1;87416;0;-8;24
768,1;87416;0;-8;32
774,1;87411;0;0;29
780,1;87416;0;-73;31
792,1;87411;0;-30;33
798,1;87416;0;-30;31
804,1;87416;0;-117;2745
810,1;87416;0;-30;6151
822,1;79242;-1252;-1971;8918
834,1;50897;-2985;-1942;9695
840,1;29289;-3726;-1397;9844
873,1;3748;550;-422;1000
882,1;6495;223;-320;400
894,1;7185;2;-248;119
900,1;7031;-42;-226;72
906,1;6679;-54;-262;47
918,1;5734;-92;-255;24
924,1;5137;-103;-182;24
930,1;4311;-148;-306;21
936,1;3221;-190;-102;16
948,1;747;-197;-284;24
954,1;-474;-210;-270;26
960,1;-1920;-254;-255;28
972,1;-2061;342;21;34
998,1;10340;539;-8;14
1008,1;15987;577;-15;25
1029,1;29342;685;65;22
1038,1;35402;721;-15;22
1044,1;39757;725;-15;29
1050,1;44411;777;29;28
1056,1;49078;785;-44;19
1068,1;59049;851;36;27
1074,1;64542;929;72;20
1080,1;70044;934;-15;18
1092,1;81474;982;50;17
1098,1;87521;1005;-8;18
1104,1;86194;-167;0;26
1110,1;85653;-62;-73;27
1122,1;85882;47;-30;29
1128,1;86176;68;50;29
1134,1;86748;85;-73;27
1146,1;87266;-1;0;33
1152,1;87297;4;-30;31
1158,1;87376;0;-37;28
1170,1;87350;0;-30;35
1176,1;87350;-3;0;30
1182,1;87358;-2;-30;32
1188,1;87367;9;0;32
1200,1;87385;-1;-30;31
1206,1;87376;-3;-8;31
1212,1;87363;1;-30;28
1224,1;87402;0;-37;30
1230,1;87380;0;14;30
1236,1;87363;-4;43;28
1242,1;87372;3;-73;32
1254,1;87398;0;-37;28
1260,1;87376;-4;-8;30
1266,1;87372;-1;0;33
1278,1;87398;0;43;25
1284,1;87398;0;-30;30
1290,1;87380;-3;-30;31
1296,1;87380;-2;-88;30
1308,1;87398;0;-66;34
1314,1;87398;-1;-30;27
1320,1;87385;-2;-8;29
1332,1;87389;1;-44;26
1338,1;87398;1;-8;25
1344,1;87398;0;-8;32
1356,1;87394;-1;-80;27
1362,1;87389;1;-51;31
1368,1;87394;0;0;29
1374,1;87398;0;-37;27
1386,1;87394;-2;-30;30
1392,1;87394;0;-66;28
1398,1;87394;1;0;29
1410,1;87398;1;-22;30
1416,1;87389;-2;-8;24
1422,1;87389;-1;-8;31
1428,1;87389;0;0;33
1440,1;87398;0;-30;29
1446,1;87398;-1;-37;33
1452,1;87394;-2;7;31
1464,1;87394;0;-30;28
1470,1;87398;0;-37;25
