
12/06/2018;16:36:06

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87442;-30
22,1;87442;-8
28,1;87442;-44
41,1;87442;14
46,1;87442;-8
52,1;87437;-8
59,1;87437;-44
64,1;87442;14
76,1;87442;-44
83,1;87437;-37
88,1;87437;0
94,1;87442;0
100,1;87437;0
113,1;87442;7
118,1;87437;-8
124,1;87442;21
130,1;87442;-37
137,1;87442;-8
148,1;87442;0
154,1;87437;0
161,1;87437;-30
166,1;87442;0
172,1;87442;-8
184,1;87442;-59
190,1;87437;14
196,1;87442;0
202,1;87442;-30
209,1;87442;-153
221,1;87442;-8
226,1;87442;-66
233,1;87437;0
238,1;87446;-8
244,1;87442;-30
257,1;87446;-15
262,1;87437;7
268,1;87442;-30
274,1;87442;-8
280,1;87442;-30
292,1;87442;-8
298,1;87437;14
305,1;87437;0
310,1;87442;-8
317,1;87437;-8
328,1;87442;-73
334,1;87442;29
340,1;87442;0
347,1;87437;-8
353,1;87437;21
365,1;87442;0
370,1;87442;14
377,1;87442;-8
382,1;87442;-8
388,1;87442;0
401,1;87442;0
406,1;87437;-37
412,1;87437;21
418,1;87442;-30
424,1;87437;0
436,1;87442;-37
442,1;87442;-15
449,1;87442;-15
454,1;87442;-8
460,1;87442;-30
473,1;87437;0
478,1;87437;7
485,1;87437;-8
490,1;87442;7
497,1;87442;58
508,1;87437;7
521,1;87442;-44
526,1;87442;-30
533,1;87442;7
545,1;87139;-1004
556,1;78692;-1513
562,1;69090;-1295
568,1;56566;-939
581,1;25000;-611
586,1;7875;-568
593,1;-8327;0
604,1;-3950;-51
624,1;10546;-73
640,1;23317;14
671,1;53270;36
687,1;69811;14
688,1;71912;0
695,1;78912;7
712,1;85447;-8
719,1;85236;-51
724,1;85346;-30
731,1;85539;50
737,1;86106;7
748,1;87398;-22
755,1;87380;0
760,1;87389;-22
767,1;87407;0
772,1;87372;7
785,1;87420;-22
790,1;87402;0
797,1;87424;0
803,1;87446;-8
808,1;87437;0
820,1;87420;0
826,1;87429;-8
833,1;87429;-80
838,1;87429;0
844,1;87424;0
856,1;87433;14
862,1;87437;-102
868,1;87437;-30
874,1;87433;0
881,1;87433;0
893,1;87433;36
898,1;87433;-8
904,1;87429;0
911,1;87433;-30
916,1;87429;7
928,1;87433;7
935,1;87429;29
940,1;87437;-37
946,1;87429;21
952,1;87429;0
965,1;87442;-8
970,1;87433;0
976,1;87429;0
983,1;87429;14
988,1;87437;7
1000,1;87437;-8
1007,1;87437;-8
1013,1;87433;7
1018,1;87437;-8
1024,1;87437;-8
1037,1;87437;0
1042,1;87437;7
1048,1;87433;-22
1054,1;87437;-44
1060,1;87433;58
1072,1;87437;-8
1078,1;87437;29
1084,1;87437;-8
1090,1;87437;-37
1096,1;87437;0
1108,1;87437;0
1114,1;87437;-8
1120,1;87437;-30
1127,1;87437;0
1133,1;87437;0
1144,1;87437;-22
1150,1;87437;-8
1156,1;87442;0
1162,1;87437;7
1168,1;87429;-15
1181,1;87433;-8
1187,1;87437;-22
1192,1;87433;-8
1198,1;87437;-37
1205,1;87437;-37
1216,1;87437;36
1222,1;87433;36
1228,1;87433;7
1235,1;87437;-22
1240,1;87433;7
1253,1;87437;14
1258,1;87433;-8
1264,1;87437;-8
1276,1;87437;14
1295,1;87433;-30
1300,1;87437;-44
1312,1;87437;-22
1318,1;87437;-22
1331,1;87433;7
1337,1;87433;-22
1342,1;87437;0
1348,1;87442;0
1354,1;87437;7
1366,1;87437;-30
1372,1;87437;-37
1379,1;87437;-102
1384,1;87437;-22
1391,1;87433;-30
1403,1;87442;-37
1408,1;87437;7
1414,1;87442;-30
1421,1;87437;0
1427,1;87442;0
1438,1;87433;-15
1444,1;87442;0
1450,1;87437;-30
1456,1;87437;0
1462,1;87437;7
1474,1;87437;-22
1481,1;87442;-8
1486,1;87442;0
1492,1;87437;-8
1499,1;87442;7
1511,1;87433;-44
1517,1;87442;0
1522,1;87437;7
1529,1;87437;-22
1534,1;87437;-37
1547,1;87437;7
1552,1;87437;36
1558,1;87437;0
1564,1;87433;-30
1570,1;87437;-8
1583,1;87433;0
1588,1;87437;0
1594,1;87437;0
1600,1;87437;-15
1606,1;87437;-8
1618,1;87442;-15
1624,1;87442;-37
1630,1;87437;-44
1637,1;87437;-22
1642,1;87437;-30
1654,1;87437;0
1661,1;87437;-15
1666,1;87433;-22
1673,1;87437;7
1678,1;87437;0
1691,1;87442;21
1696,1;87442;-8
1702,1;87437;36
1708,1;87442;-80
1714,1;87437;0
1726,1;87437;-15
1733,1;87442;-44
1738,1;87437;36
1744,1;87437;43
